DATE,EMNT,EMXT,TAVG,TMAX,TMIN,INDEX
2008.833333,5,55,31.6,38.9,24.3,142
2008.916667,-4,42,22.6,30.1,15.1,143
2009,-29,38,13.4,20.7,6.1,144
2009.083333,-34,46,10.6,18.6,2.6,145
2009.166667,-23,40,15.2,26,4.4,146
2009.25,-16,42,21.3,30.6,12,147
2009.333333,1,63,35.3,44.1,26.5,148
2009.416667,29,72,47.1,58,36.2,149
2009.5,35,80,52.6,61.5,43.6,150
2009.583333,40,73,57.4,65.1,49.7,151
2009.666667,35,75,55.3,64.2,46.5,152
2009.75,24,70,49.6,58.6,40.5,153
2009.833333,23,62,44.4,49.9,38.9,154
2009.916667,-16,48,21.6,31.4,11.7,155
2010,-10,44,22.8,28.8,16.7,156
2010.083333,-11,40,20.6,27.9,13.4,157
2010.166667,-9,44,29.3,35.1,23.5,158
2010.25,-16,48,27.4,36.4,18.4,159
2010.333333,16,60,38.2,45.6,30.8,160
2010.416667,28,78,48.1,59,37.3,161
2010.5,34,69,53.9,61,46.7,162
2010.583333,37,76,56.6,62.6,50.5,163
2010.666667,38,73,57,64.5,49.5,164
2010.75,24,72,51.2,60.3,42.1,165
2010.833333,18,56,39.9,47.9,31.8,166
2010.916667,1,44,28.1,34,22.2,167
2011,-12,38,10.2,19.6,0.7,168
