MONTH,MIN,AVG,MAX
1,13.7,22.6,31.4
2,17.2,26.1,35
3,24.8,33.2,41.6
4,35,44.2,53.3
5,44.5,54.7,65
6,53.7,64,74.2
7,59.3,69.2,79.1
8,58.9,68.7,78.4
9,52,61.2,70.5
10,42,50.3,58.7
11,33,40.5,48.1
12,21.3,29.3,37.2
