DATE,EMNT,EMXT,TAVG,TMAX,TMIN
1997.0833333333333,-11,47,21,32.1,9.9
1997.1666666666667,3,48,27.6,38.4,16.9
1997.25,3,54,28.9,38.6,19.2
1997.3333333333333,19,68,41.1,52.3,29.9
1997.4166666666667,28,76,50.3,60.5,40
1997.5,39,90,64.5,77.3,51.7
1997.5833333333333,48,91,69.4,81.7,57.1
1997.6666666666667,48,90,67.2,77.7,56.8
1997.75,33,75,58.5,67.8,49.1
1997.8333333333333,23,72,47.3,57,37.7
1997.9166666666667,11,59,35.9,43.4,28.4
1998.0,0,45,28.7,37.1,20.2
1998.0833333333333,-10,46,25.2,33.2,17.3
1998.1666666666667,-6,52,30.1,38.4,21.8
1998.25,1,80,35.3,44.4,26.1
1998.3333333333333,28,80,45.3,56.2,34.5
1998.4166666666667,34,85,58.3,70.8,45.8
1998.5,39,82,60,70.2,49.9
1998.5833333333333,50,92,70.1,82.3,57.9
1998.6666666666667,46,89,69,80.5,57.6
1998.75,35,81,60.5,70.4,50.5
1998.8333333333333,31,71,49.3,58.4,40.2
1998.9166666666667,21,54,38.5,46.6,30.3
1999.0,-4,59,32.3,41.7,22.8
1999.0833333333333,-11,54,24.8,36,13.5
1999.1666666666667,0,50,28.6,38.2,19
1999.25,6,55,34.4,42.9,25.8
1999.3333333333333,25,64,45,56.2,33.9
1999.4166666666667,34,90,56.9,68.4,45.4
1999.5,42,90,66.9,78.9,55
1999.5833333333333,48,94,70.6,82.1,59
1999.6666666666667,45,89,68,79.2,56.7
1999.75,42,95,65.4,75,55.8
1999.8333333333333,16,69,46.3,56.5,36
1999.9166666666667,4,,,,26.8
2000.0,0,,,,22.7
2000.0833333333333,-9,54,22.4,33.2,11.6
2000.1666666666667,-2,56,27.1,37.6,16.5
2000.25,9,65,37.6,47.3,27.9
2000.3333333333333,25,,,,32.3
2000.4166666666667,30,77,51.3,61.6,41.1
2000.5,40,86,63.4,74.7,52.1
2000.5833333333333,47,85,65.9,76.5,55.4
2000.6666666666667,46,,,,56
2000.8333333333333,24,,,,37.3
2000.9166666666667,11,,,,32.4
2001.0,0,54,25.1,33.6,16.5
2001.0833333333333,-1,40,21.1,31.2,11
2001.1666666666667,-4,46,24,33.8,14.3
2001.25,-2,,,,21.4
2001.3333333333333,25,69,41.9,52.6,31.2
2001.4166666666667,33,88,55.7,69.2,42.3
2001.5,42,90,66,76.9,55
2001.5833333333333,47,89,66.8,78.1,55.6
2001.6666666666667,45,93,69.4,81,57.8
2001.75,37,89,62.5,73.7,51.4
2001.8333333333333,25,75,51.9,62,41.7
2001.9166666666667,21,62,43.4,50.3,36.4
2002.0,12,59,33.8,41.6,26
2002.0833333333333,10,44,28.4,36.8,20
2002.1666666666667,-2,49,28.7,38.5,18.8
2002.25,12,58,33.1,42.3,23.9
2002.3333333333333,22,69,43.3,53.1,33.4
2002.4166666666667,30,77,51.7,62.8,40.6
2002.5,39,85,61.2,72,50.3
2002.5833333333333,45,96,68.7,79.6,57.9
2002.6666666666667,48,,,,59.8
2002.75,40,95,63.3,73.7,52.8
2002.8333333333333,26,76,46.5,54.9,38.1
2002.9166666666667,13,61,37.9,44.9,31
2003.0,-1,52,28.9,36.8,21
2003.0833333333333,-9,39,16.7,25.2,8.2
2003.1666666666667,-14,,,,10.5
2003.25,-4,55,31.4,39.9,22.9
2003.3333333333333,17,78,40.7,49.1,32.4
2003.4166666666667,33,83,53,61.6,44.4
2003.5,42,89,63.6,72.9,54.3
2003.5833333333333,53,87,69,77.7,60.3
2003.6666666666667,46,86,70,78.5,61.5
2003.75,47,79,64.4,73.4,55.3
2003.8333333333333,29,75,50.3,58.1,42.6
2003.9166666666667,20,64,41,48.4,33.6
2004.0,5,55,32.5,40.2,24.8
2004.0833333333333,-16,,,,5
2004.1666666666667,-2,44,26.7,35.9,17.5
2004.25,8,,,,25.2
2004.3333333333333,24,78,43.5,52.2,34.8
2004.4166666666667,32,80,54.7,64.9,44.5
2004.5,42,90,60.7,70.5,50.8
2004.5833333333333,52,83,66.2,74.6,57.8
2004.6666666666667,51,85,67.8,75.5,60.2
2004.75,42,75,59.8,67.8,51.9
2004.8333333333333,33,67,50.5,57.2,43.7
